com.samsung.shealth.report,6156001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Zurich,1609714800000,2021-01-17 14:23:14.008,2021-01-16 14:22:41.166,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,36138e38-d45c-40a7-88fb-585a2a9c2581,36138e38-d45c-40a7-88fb-585a2a9c2581.compressed_content.json,
Europe/Bucharest,1604786400000,2020-11-16 13:37:22.984,2020-11-15 13:39:31.531,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,e2de90eb-2181-400f-a22c-93a585c438e9,e2de90eb-2181-400f-a22c-93a585c438e9.compressed_content.json,
Europe/Zurich,1612738800000,2021-02-15 14:22:25.584,2021-02-15 14:22:24.856,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,34a3240d-0129-4830-9920-998e236aa1ce,34a3240d-0129-4830-9920-998e236aa1ce.compressed_content.json,
Europe/Paris,1605394800000,2020-11-28 14:22:27.470,2020-11-28 14:22:25.642,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,21938e8c-0b95-4f9b-bda4-b7b02fd93dc0,21938e8c-0b95-4f9b-bda4-b7b02fd93dc0.compressed_content.json,
Europe/Zurich,1611529200000,2021-02-01 14:23:10.707,2021-02-01 14:23:09.950,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,7820cf39-2951-4bf9-80a4-f2140f433c32,7820cf39-2951-4bf9-80a4-f2140f433c32.compressed_content.json,
Europe/Zurich,1606604400000,2020-12-08 14:42:02.386,2020-12-07 14:22:33.521,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,dc4894f2-0497-4886-95b8-a9a5c3f242d0,dc4894f2-0497-4886-95b8-a9a5c3f242d0.compressed_content.json,
Europe/Zurich,1610924400000,2021-01-25 14:22:26.972,2021-01-25 14:22:26.526,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,042fe92f-5030-4213-8af2-432317a47319,042fe92f-5030-4213-8af2-432317a47319.compressed_content.json,
Europe/Zurich,1612134000000,2021-02-14 19:49:32.168,2021-02-14 19:49:31.432,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,785c7d3d-0674-4662-8355-382903402cea,785c7d3d-0674-4662-8355-382903402cea.compressed_content.json,
Europe/Bucharest,1614463200000,2021-03-07 11:56:12.770,2021-03-07 11:56:02.058,0,0,2,OD8XXfRrR9,X,com.sec.android.app.shealth,27c34d41-61af-4aa1-bd6e-23e138e632c1,27c34d41-61af-4aa1-bd6e-23e138e632c1.compressed_content.json,
Europe/Bucharest,1613858400000,2021-03-01 11:55:01.101,2021-03-01 11:55:00.446,0,0,2,OD8XXfRrR9,X,com.sec.android.app.shealth,1742cf46-e11c-47cc-a047-a71ae31183e1,1742cf46-e11c-47cc-a047-a71ae31183e1.compressed_content.json,
Europe/Bucharest,1615068000000,2021-03-14 11:54:55.230,2021-03-14 11:54:54.549,0,0,2,OD8XXfRrR9,X,com.sec.android.app.shealth,609ace3c-c55e-40a2-bca8-e92ce581376f,609ace3c-c55e-40a2-bca8-e92ce581376f.compressed_content.json,
Europe/Bucharest,1615672800000,2021-03-21 11:57:23.947,2021-03-21 11:57:22.369,0,0,2,OD8XXfRrR9,X,com.sec.android.app.shealth,e1600404-7b0e-4013-8a77-2d3612b9daab,e1600404-7b0e-4013-8a77-2d3612b9daab.compressed_content.json,
Europe/Zurich,1605999600000,2020-11-30 14:23:56.863,2020-11-29 14:23:25.944,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,8cd8f140-6eb6-4d0b-a9f7-7a8c283e96a4,8cd8f140-6eb6-4d0b-a9f7-7a8c283e96a4.compressed_content.json,
Europe/Bucharest,1604181600000,2020-11-08 13:22:50.326,2020-11-08 13:22:49.001,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,9d4c63cb-5fb0-47eb-8232-ea1ec33d3929,9d4c63cb-5fb0-47eb-8232-ea1ec33d3929.compressed_content.json,
Europe/Zurich,1610319600000,2021-01-19 14:50:04.327,2021-01-18 14:22:34.445,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,6ac7337e-1d91-4915-8a3a-dbeb221e1ba7,6ac7337e-1d91-4915-8a3a-dbeb221e1ba7.compressed_content.json,
Europe/Bucharest,1613340000000,2021-02-28 14:22:23.793,2021-02-28 14:22:22.818,0,0,2,vC702BfhH0,X,com.sec.android.app.shealth,19a06f6c-e0e5-4a9b-889b-ad0ccba211a7,19a06f6c-e0e5-4a9b-889b-ad0ccba211a7.compressed_content.json,
Europe/Bucharest,1616277600000,2021-03-28 10:55:33.808,2021-03-28 10:55:32.760,0,0,2,OD8XXfRrR9,X,com.sec.android.app.shealth,1f2fc596-c62f-4448-9707-9f37461ebcd7,1f2fc596-c62f-4448-9707-9f37461ebcd7.compressed_content.json,
