Join Date,Name,Completed
"Jun 8, 2020, 6:00:34 AM",MA RA TH ON,true
"Jun 8, 2020, 6:03:37 AM",June 10K,true
"Jun 8, 2020, 6:05:06 AM",June 5K,true
"Jun 8, 2020, 6:05:18 AM",June Half Marathon,false
"Jun 10, 2020, 5:58:08 PM",ODLO ULTRA FUN,true
"Jun 24, 2020, 6:00:24 AM",HOKA Ekiden Strava Challenge,true
"Jun 24, 2020, 6:00:33 AM","You, But Faster, with Saucony",true
"Jun 24, 2020, 6:00:38 AM",ROKA Forward Together 200,true
"Jul 15, 2020, 6:56:56 AM",July 5K,true
"Jul 28, 2020, 3:53:26 AM",July 10K,true
"Oct 1, 2020, 11:03:14 AM",Le Col Giro Challenge,true
"Oct 1, 2020, 11:03:32 AM",October Running Challenge,false
"Oct 1, 2020, 11:03:46 AM",October 10K,false
"Oct 2, 2020, 12:51:34 PM",October 5K,false
"Nov 29, 2020, 9:56:56 AM",November 5K,true
"Nov 29, 2020, 9:57:06 AM",December 4x4 Challenge,true
"Nov 29, 2020, 9:57:09 AM",December Running Challenge,true
"Nov 29, 2020, 9:57:13 AM",December 5K,true
"Nov 29, 2020, 9:57:14 AM",December 10K,true
"Nov 29, 2020, 9:57:18 AM",December Half Marathon,false
"Dec 24, 2020, 2:03:51 PM",Move Past 2020 Challenge,false
"Dec 24, 2020, 2:03:56 PM",Le Col Tick Off 2020 Challenge,true
"Dec 24, 2020, 2:05:10 PM",December Run Climbing Challenge,false
"Dec 28, 2020, 10:00:45 PM",January 10K,true
"Dec 28, 2020, 10:00:51 PM",January Running Challenge,false
"Dec 28, 2020, 10:01:20 PM",January 5K,true
"Dec 28, 2020, 10:01:31 PM",January Fresh Start Challenge,false
"Jan 1, 2021, 2:33:07 PM",January Half Marathon,false
"Jan 1, 2021, 2:33:14 PM",January Run Climbing Challenge,false
"Feb 1, 2021, 8:19:37 AM",Le Col Project 21 Challenge,true
"Feb 1, 2021, 8:19:49 AM",February Running Challenge,false
"Feb 1, 2021, 8:19:52 AM",February 5K,true
"Feb 1, 2021, 8:19:52 AM",February 10K,true
"Feb 1, 2021, 8:19:54 AM",February Half Marathon,false
"Feb 1, 2021, 8:20:21 AM",February Gran Fondo,false
"Feb 13, 2021, 3:18:07 PM",Love to Sweat with Picky Bars,true
"Mar 9, 2021, 11:30:30 AM",March 5K,true
"Mar 9, 2021, 11:30:31 AM",March 10K,false
"Apr 1, 2021, 11:00:34 AM",April 5K,true
"Apr 1, 2021, 11:00:38 AM",April 10K,true
